"ICAO","OPERATIONS_TOTAL","AIRPORT_SIZE"
KORD,932495,4
KATL,898356,4
KLAX,637358,4
KDFW,602354,4
KDEN,582486,4
KCLT,547301,4
KLAS,541428,4
KVNY,504502,4
KIAH,469193,4
KJFK,453605,4
KCBM,453520,4
KSFO,448388,4
KEWR,441061,4
KPHX,437847,4
KMSP,414979,4
KMIA,414234,4
KSEA,412170,4
KPHL,394022,3
KBOS,387929,3
KDTW,375160,3
KLGA,369174,3
KDVT,349046,3
KSLC,327295,3
KDAB,322426,3
KAPA,321569,3
KFLL,321022,3
KMCO,319298,3
KGFK,318506,3
PHNL,305608,3
KDCA,301262,3
KLGB,296176,3
KIAD,294930,3
KSFB,289700,3
KSNA,284246,3
PANC,261961,3
KHIO,253847,3
KMDW,253046,3
KIWA,253006,3
KBWI,248583,3
KPRC,242372,3
KFFZ,236423,3
KPDX,227687,3
KSEE,226887,3
KMEM,224706,3
KDAL,223997,3
KOAK,221220,3
KCHD,215183,3
KFRG,209978,3
KMYF,207153,3
KHOU,204596,3
KVRB,204322,3
KSAN,201038,3
KAUS,197949,3
KBNA,194758,3
KSTL,194173,3
KTMB,194111,3
KTPA,191827,3
KPAO,191697,3
KRVS,188024,3
KNYL,187499,3
KTEB,177109,3
KRDU,176768,3
KPVU,172014,3
TJSJ,170508,3
KPMP,169722,3
KBFI,168984,3
KPUB,168014,3
KDCU,167701,3
KPOE,167456,3
KSMO,165130,3
KDTO,165052,3
KCNO,164588,3
KSJC,164146,3
KSAT,163987,3
KIND,161920,3
KBKF,160000,3
KCRG,158769,3
KFIN,158726,3
KVGT,158548,3
KSDF,158472,3
KCRQ,153685,3
KSDL,152568,3
KISM,150388,3
KFXE,149703,3
KHPN,148516,3
KSGJ,148036,3
KOPF,147638,3
KEUL,147325,3
KPIT,146328,3
KPBI,144409,3
KBJC,142663,3
KBDN,141175,3
KHEF,140798,3
KCVG,137447,3
KCMA,136510,3
KMCI,135880,3
PHOG,135384,3
KMSY,134263,3
KABQ,133828,3
KAWO,133552,3
KEVB,130986,3
KCOS,130894,3
KLAL,129504,3
KBUR,129321,3
PHLI,129120,3
KCMH,128803,3
KTUS,127910,3
PHJR,127058,3
KOMN,127000,3
KLNA,126750,3
PAMR,126234,3
KFTW,126228,3
KMKT,126136,3
KPTK,125132,3
KISP,124154,3
KCOE,123048,3
KRNT,122908,3
PABE,122000,3
KBED,121792,3
KBOI,121782,3
PHKO,120879,3
KGYR,120781,3
KCLE,120687,3
KSUA,120556,3
KMGJ,120000,3
PAFA,119898,3
KCGZ,119680,3
KFHU,119274,3
KTOA,119034,3
KLVK,117693,3
KHWO,117649,3
KDED,117460,3
KPNS,117413,3
KHWD,116753,3
KWHP,116109,3
KICT,115696,3
KPOC,115608,3
KJYO,115328,3
KOKC,115024,3
KCOI,113500,3
KPIE,113096,3
KMYR,112421,3
KAFW,112326,3
KMKE,112169,3
KELP,110775,3
KGKT,110200,3
KSMF,110061,3
KJAX,109977,3
KCPS,109557,3
KORL,109483,3
KCCR,109415,3
KTKI,108958,3
PAJN,108885,3
KCHS,108372,3
KLYH,108261,3
KSQL,108105,3
KPAE,106427,3
KACK,106178,3
KGCN,106048,3
KTUL,106046,3
KRAL,105321,3
KSPS,105028,3
KTTD,105020,3
KVQQ,104361,3
KLOT,104000,3
KSRQ,103497,3
KMER,103363,3
KIWS,103000,3
KEFD,102269,3
KVCB,101500,3
KHDC,101500,3
KLRD,100700,3
KRNM,100336,3
KDPA,100235,3
KSBA,100129,3
KPLU,100000,2
KFAT,99559,2
KDWH,99473,2
KMHR,99467,2
KLAF,99391,2
KBVU,99306,2
KDVO,98000,2
KBUF,97605,2
KTVC,97480,2
KGTU,97346,2
KMRY,97235,2
KSUS,96759,2
KTYS,96691,2
KADS,96476,2
KOMA,96460,2
KMLB,96184,2
KLIT,95891,2
TJIG,95797,2
KHYA,95703,2
KAPF,95630,2
KUAO,94935,2
KFDK,94901,2
KFNL,94896,2
KFMY,94666,2
KBHM,94651,2
KVDF,94590,2
KSPG,93812,2
KBDL,93678,2
KRIC,93571,2
KSAV,93544,2
KSSF,93157,2
KJKA,92912,2
KONT,91712,2
KIYA,91595,2
KMDH,91202,2
KTDZ,90700,2
KAVQ,90252,2
KBTL,90109,2
KEMT,89307,2
KMGY,89045,2
KROC,88443,2
KGKY,88222,2
KSAC,88013,2
KLZU,88000,2
KRNO,87425,2
KTTN,86111,2
KGSO,85527,2
KMTN,84853,2
KSDM,84191,2
KJWN,83950,2
KLOU,83740,2
KPHF,83588,2
KCXP,83500,2
KLUK,82574,2
KPGD,82404,2
KBLI,82234,2
KHUM,82144,2
KWJF,81851,2
KGRR,81558,2
KBCT,81550,2
KMSN,81403,2
KHHR,80210,2
KGYI,79968,2
KLRU,79880,2
KSWO,79819,2
KMEV,79800,2
PGUM,79649,2
KLNS,79488,2
KSTS,79231,2
KTIX,78988,2
KRSW,78861,2
KAEG,78860,2
KBIL,78740,2
KBKV,78000,2
KLBX,77981,2
KABE,77978,2
KPWK,77321,2
PGSN,77269,2
KSUT,77000,2
KBZN,76902,2
KCJR,76755,2
KTRM,76500,2
KCDW,76266,2
KSLN,76228,2
KFCM,75842,2
KPNE,75800,2
KLBB,75466,2
KMMU,75331,2
KAUN,75077,2
KMQY,74976,2
KMTH,74733,2
KMOB,74727,2
KBUY,74450,2
KLHM,74400,2
KBTP,74356,2
PHTO,74337,2
KFAR,74276,2
KOXR,74193,2
KSBP,73718,2
KSGR,73577,2
KJNX,73350,2
KMWH,73348,2
KCDC,73103,2
KMKC,72899,2
KBTR,72351,2
KMLE,72300,2
KMAN,72000,2
KLEX,71971,2
KPVD,71902,2
KDKX,71400,2
KHND,71323,2
KHQZ,71118,2
KOSU,71094,2
KFSD,70511,2
KSJT,70504,2
KACY,70447,2
KTVY,70424,2
KANE,70202,2
KDSM,70165,2
KSNS,70110,2
KPWA,70027,2
KVPZ,69888,2
KSYR,69087,2
KCHO,68858,2
KESN,68247,2
KPVG,67826,2
KORF,67679,2
KPOU,67606,2
KFWS,67542,2
KCAK,67509,2
KAVL,67234,2
KSTP,66475,2
KSCK,66367,2
KRYY,66223,2
KBTV,66085,2
KBJJ,66000,2
KPWT,66000,2
KDET,65734,2
KGPM,65693,2
KHKY,65674,2
KRDG,65665,2
KAUO,65445,2
KJQF,65115,2
KGEU,65086,2
KECP,65059,2
KEWK,65044,2
KSBM,65000,2
KALB,64731,2
KHUF,64721,2
KOSH,64717,2
KPMD,64433,2
KAMA,64303,2
KARB,63521,2
KOGD,63308,2
KCXO,63269,2
KFLD,63200,2
KMAF,63055,2
KTTA,63000,2
KDTS,63000,2
KLHZ,62800,2
KTLH,62701,2
KBWG,62640,2
KASG,62450,2
KGEG,62439,2
KMGM,62300,2
KLNK,62127,2
KARR,62072,2
PALH,61900,2
KBVS,61900,2
KBFM,61822,2
KFCI,61780,2
KGNV,61734,2
KHAO,61687,2
KFUL,61629,2
KEUG,61601,2
KFIT,61360,2
KARG,61300,2
KHSV,60962,2
KYIP,60801,2
KAGC,60795,2
KNEW,60778,2
KSET,60720,2
KGGG,60707,2
KELN,60445,2
KDWA,60360,2
KMEI,60293,2
KECG,60120,2
PAOT,60000,2
KSPB,60000,2
KIGQ,59400,2
KPVF,59400,2
KCRP,59311,2
KUOX,59294,2
KAVP,59233,2
KRDD,58965,2
KASH,58726,2
KTCY,58665,2
KMCE,58650,2
KFOK,58596,2
KCHA,58442,2
KOWD,58346,2
KJAN,58029,2
KRYV,58000,2
KJRB,57984,2
KTUP,57977,2
KBLM,57229,2
KDLH,57051,2
KMFE,56557,2
KSGU,56525,2
KDBQ,56219,2
KEQY,56100,2
KPSP,55924,2
KDTN,55551,2
KSCH,55499,2
KEKA,55450,2
KEWB,55112,2
KBUU,54900,2
KSFF,54881,2
KIXD,54767,2
KSAF,54747,2
KVCT,54741,2
KPCW,54150,2
KMBT,54124,2
KMEB,54000,2
KAPC,53953,2
KTPF,53800,2
KBFL,53418,2
KTIW,53276,2
KENW,53139,2
KSFM,53112,2
KBXK,53000,2
KLEW,52750,2
KUNI,52734,2
KVUO,52700,2
KBAZ,52541,2
KLXT,52500,2
KVPS,52499,2
KEYW,52485,2
KCVO,52300,2
KPQL,52213,2
KOJC,52099,2
KDXR,51719,2
KSYI,51500,2
KPNC,51500,2
KROA,51474,2
KHRJ,51300,2
KBVY,51274,2
KMGW,51217,2
KRUQ,51000,2
KAKR,51000,2
KMAE,50950,2
KPYM,50950,2
KBIS,50909,2
PADL,50892,2
KCAE,50869,2
KILM,50821,2
KPWM,50800,2
KTHV,50800,2
KCLW,50590,2
KPTB,50577,2
KDAY,50552,2
KVPC,50500,2
KMDT,50430,2
KRZT,50150,2
KHAF,50150,2
KGPT,50130,2
KHGR,50099,2
KTRI,50085,2
KIKK,50000,1
KAFJ,49855,1
KJWY,49700,1
KTCL,49680,1
KPVC,49577,1
PAWS,49514,1
KMOR,49500,1
KGRB,49479,1
KZPH,49425,1
KGTR,49412,1
KLMT,49394,1
KABI,49155,1
KGMU,49006,1
KDHN,48734,1
KOUN,48700,1
TJBQ,48633,1
KCEW,48600,1
KART,48586,1
KMHT,48538,1
KPGV,48220,1
KHFD,48117,1
PAHO,48091,1
KDSV,48050,1
KGAI,48000,1
KRKP,48000,1
KPCM,47975,1
KCID,47936,1
KSHN,47930,1
KSBD,47780,1
KCLS,47710,1
KHWY,47481,1
KBDR,47252,1
KSWF,47081,1
KSGF,47012,1
KRAC,47000,1
KFHB,47000,1
KPSM,46922,1
KOLS,46850,1
KCLL,46830,1
KFME,46734,1
KHLG,46582,1
KCBF,46350,1
KFLG,46211,1
KPSC,46089,1
KETB,46000,1
KPMH,45830,1
KGSP,45526,1
KCYS,45389,1
KLFT,45253,1
KLGU,45178,1
KLNN,45085,1
KUGN,45015,1
KGJT,45001,1
KHII,45000,1
KHYI,45000,1
KHLN,44963,1
KHBG,44951,1
KFHR,44840,1
KOCF,44744,1
KMOD,44521,1
KFTG,44520,1
KRNH,44500,1
KMSL,44490,1
KJVY,44430,1
KEAT,44376,1
KINT,44372,1
KSFQ,44153,1
KOKV,44115,1
KLCI,44100,1
KMRH,43800,1
KBAK,43755,1
KVIS,43700,1
KFWQ,43665,1
KMYL,43600,1
KPTV,43550,1
KEDN,43456,1
KOQN,43373,1
KOXC,43362,1
KUKI,43300,1
KSBY,43281,1
KOLM,43071,1
KISN,43014,1
KGLD,43000,1
KRAP,42989,1
KRBD,42940,1
KAXH,42624,1
KLPR,42610,1
KRST,42554,1
KRCE,42554,1
KLBL,42424,1
KMIC,42351,1
KACV,42174,1
KHTW,41910,1
KEGE,41900,1
KORS,41800,1
KMQS,41774,1
KUES,41711,1
KVCV,41654,1
KILG,41620,1
KXNA,41567,1
KGBR,41500,1
KDNA,41500,1
KUYF,41410,1
KBAF,41341,1
KBGR,41209,1
KSBN,41198,1
KASE,41161,1
KTYR,41085,1
KMDD,41010,1
KASN,41000,1
KHVC,41000,1
PADQ,40949,1
KKLS,40860,1
KMVY,40555,1
KCMI,40543,1
KSGT,40200,1
KSVH,40200,1
KABR,40152,1
KMWO,40050,1
KGVQ,40000,1
KINL,39900,1
KDEC,39858,1
KALN,39828,1
KMNN,39650,1
KPIA,39486,1
KLEB,39382,1
KRDM,39357,1
KLWM,39331,1
KDLZ,39300,1
KPIB,39260,1
KFFT,39216,1
KESC,38986,1
KAZO,38966,1
PAEN,38960,1
KCRW,38806,1
KGVL,38800,1
KRGA,38780,1
KAST,38721,1
KBKL,38605,1
KSEM,38550,1
KSMX,38519,1
KMFR,38517,1
KOXB,38506,1
KTOL,38439,1
KJVL,38400,1
KADF,38400,1
KAAO,38300,1
KGON,38162,1
KRMG,37919,1
KCVN,37909,1
KBRD,37900,1
KSHV,37865,1
KLBF,37814,1
KOAJ,37653,1
KHXD,37632,1
KFFA,37500,1
KMSO,37429,1
KCPK,37361,1
KXLL,37329,1
KBTF,37168,1
KACT,37050,1
KFAY,36765,1
KSTE,36750,1
KPHK,36750,1
KDYL,36695,1
KAEX,36641,1
KPWG,36600,1
KDEW,36540,1
KYKM,36440,1
KAHN,36402,1
KAUW,36400,1
KFWA,36140,1
KDMW,36090,1
KORH,36032,1
KOVE,36000,1
KOFP,35918,1
KCRE,35772,1
KGYH,35675,1
KRKD,35658,1
KFSM,35564,1
KVIH,35500,1
TJCP,35400,1
KMYV,35300,1
KSEZ,35000,1
KLWV,35000,1
KBIV,35000,1
KTRK,35000,1
KHEE,35000,1
KJEF,34909,1
KMQJ,34858,1
KTYQ,34858,1
KJHW,34837,1
KTDF,34750,1
KPIR,34680,1
KSLE,34647,1
KORE,34550,1
KPHD,34500,1
KATW,34451,1
PHMK,34443,1
KRFD,34356,1
KROW,34280,1
KMDQ,34260,1
KPRB,34250,1
KPAN,34250,1
KLVN,34174,1
KIPJ,34100,1
KTOP,34094,1
KHYS,34037,1
KCIC,34000,1
KSAR,34000,1
KGED,34000,1
KSLR,34000,1
KCPR,33930,1
KIOB,33910,1
KLAN,33846,1
KCWC,33770,1
KAMW,33751,1
KPSF,33700,1
KJMS,33695,1
KIZG,33680,1
KTRL,33650,1
KHUT,33604,1
KMCW,33600,1
KHRL,33485,1
KSPA,33390,1
KFNT,33365,1
KZZV,33312,1
KIDA,33152,1
KCPT,33124,1
KMTW,33100,1
KALM,33100,1
KMLI,33048,1
PASC,32912,1
KUNV,32824,1
KBRO,32823,1
KEWN,32799,1
KHVN,32733,1
KSQI,32720,1
KMTO,32708,1
KLWC,32700,1
KGCY,32650,1
KFMN,32642,1
KGTF,32599,1
KMWA,32506,1
KAOH,32500,1
KCKV,32475,1
KVBT,32300,1
KTVF,32268,1
KITH,32260,1
KCON,32200,1
KORK,32200,1
KMTJ,32150,1
KHKS,32139,1
KROG,32000,1
KJGG,31991,1
KLCH,31961,1
KAQW,31900,1
KMRT,31886,1
KRBG,31750,1
KWDG,31710,1
KSRC,31560,1
KSHR,31550,1
KEVY,31535,1
KLAW,31453,1
KBKX,31405,1
KEHR,31201,1
KHOT,31184,1
KRXE,31150,1
KGLS,31050,1
KJZI,31000,1
KMEZ,31000,1
TJVQ,30898,1
KIZA,30400,1
KVVS,30390,1
KHIB,30365,1
KMTP,30361,1
KLOM,30331,1
KEVV,30287,1
KGLH,30245,1
KBFF,30216,1
KPTW,30150,1
KWBW,30125,1
KSZT,30100,1
KBVX,30095,1
KOWA,30050,1
KHFY,30050,1
KEAR,30040,1
KCVX,30000,1
PATK,30000,1
KDLL,30000,1
KRWI,29810,1
KAND,29800,1
KRCM,29725,1
KUKT,29667,1
KUTS,29613,1
KDUG,29500,1
KPIL,29420,1
KDRO,29413,1
KPUW,29350,1
KGPI,29319,1
KPKB,29313,1
KCOD,29227,1
PGWT,29207,1
KUNU,29000,1
KEXX,29000,1
KJAC,28989,1
KCGF,28841,1
KLBE,28816,1
KLWS,28751,1
KLCQ,28714,1
KHJO,28700,1
KDMN,28655,1
KRME,28620,1
KIYK,28573,1
KAGS,28543,1
KCSV,28490,1
KIGM,28478,1
KUCP,28412,1
KUCY,28350,1
KSTC,28316,1
KCGC,28312,1
KAIK,28300,1
KDVN,28251,1
KALW,28206,1
KUZA,28100,1
KZER,28100,1
KVUJ,28068,1
KENL,28000,1
KMKG,27911,1
KGOO,27750,1
KBYI,27750,1
KRPD,27650,1
KFYM,27500,1
PAOM,27450,1
KVNW,27400,1
KSPI,27352,1
KCXY,27348,1
KTWF,27337,1
KARV,27190,1
KLKU,27169,1
KCGI,27113,1
KMIE,27100,1
KDKB,27000,1
KERI,26982,1
KMWC,26957,1
KBMG,26906,1
KNQA,26890,1
KBMI,26847,1
KGNG,26800,1
KTAN,26750,1
KIFP,26726,1
KEKM,26706,1
KVJI,26631,1
KEEN,26600,1
KGAF,26600,1
KTHA,26500,1
KMRB,26385,1
KLCK,26307,1
KAEL,26175,1
KADM,26170,1
KRBL,26150,1
KMLU,26083,1
KDKK,26005,1
KSRB,25972,1
KTBN,25807,1
KTXK,25720,1
KBLV,25612,1
KTCC,25600,1
KTMK,25600,1
KSME,25550,1
KOLE,25550,1
KAXN,25500,1
TIST,25492,1
KJLN,25425,1
KAUM,25420,1
KGRK,25343,1
KGRI,25242,1
