"IATA","ICAO"
KOC,NWWK
LIF,NWWL
GEA,NWWM
MEE,NWWR
TOU,NWWU
UVE,NWWV
NOU,NWWW
AKL,NZAA
TUO,NZAP
AMZ,NZAR
CHC,NZCH
CHT,NZCI
DUD,NZDN
GIS,NZGS
HKK,NZHK
HLZ,NZHN
KKE,NZKK
KAT,NZKT
ALR,NZLX
MON,NZMC
TEU,NZMO
MRO,NZMS
NPL,NZNP
NSN,NZNS
IVC,NZNV
OAM,NZOU
PMR,NZPM
PPQ,NZPP
ZQN,NZQN
ROT,NZRO
TRG,NZTG
TIU,NZTU
BHE,NZWB
WKA,NZWF
WHK,NZWK
WLG,NZWN
WRE,NZWR
WSZ,NZWS
WAG,NZWU
HEA,OAHR
JAA,OAJL
KBL,OAKB
KDH,OAKN
MMZ,OAMN
MZR,OAMS
UND,OAUZ
BAH,OBBI
AHB,OEAB
HOF,OEAH
ABT,OEBA
BHH,OEBH
DMM,OEDF
DHA,OEDR
GIZ,OEGN
ELQ,OEGS
URY,OEGT
HAS,OEHL
JED,OEJN
HBT,OEKK
MED,OEMA
EAM,OENG
AQI,OEPA
RAH,OERF
RUH,OERK
RAE,OERR
SHW,OESH
SLF,OESL
TUU,OETB
TIF,OETF
TUI,OETR
EJH,OEWJ
YNB,OEYN
ABD,OIAA
QMJ,OIAI
MRX,OIAM
AWZ,OIAW
BUZ,OIBB
KIH,OIBK
BDH,OIBL
KSH,OICC
SDG,OICS
IFN,OIFM
RAS,OIGG
THR,OIII
BND,OIKB
KER,OIKK
XBJ,OIMB
RZR,OINR
SYZ,OISS
TBZ,OITT
AZD,OIYY
ACZ,OIZB
ZBR,OIZC
ZAH,OIZH
AMM,OJAI
ADJ,OJAM
AQJ,OJAQ
OMF,OJMF
KWI,OKBK
BEY,OLBA
AUH,OMAA
AZI,OMAD
DXB,OMDB
FJR,OMFJ
RKT,OMRK
SHJ,OMSJ
KHS,OOKB
MSH,OOMA
MCT,OOMS
SLL,OOSA
TTH,OOTH
LYP,OPFA
GWD,OPGD
GIL,OPGT
KHI,OPKC
LHE,OPLA
MFG,OPMF
MJD,OPMJ
MUX,OPMT
WNS,OPNH
PJG,OPPG
PSI,OPPI
PEW,OPPS
UET,OPQT
RYK,OPRK
ISB,OPRN
RAZ,OPRT
SKZ,OPSK
SDT,OPSS
SUL,OPSU
BDN,OPTH
PZH,OPZB
BSR,ORMM
ALP,OSAP
DAM,OSDI
DEZ,OSDZ
LTK,OSLK
PMS,OSPR
CIS,PCIS
ROP,PGRO
SPN,PGSN
UAM,PGUA
GUM,PGUM
TIQ,PGWT
MAJ,PKMJ
KWA,PKWA
CXI,PLCH
MDY,PMDY
TKK,PTKK
PNI,PTPN
ROR,PTRO
KSA,PTSA
YAP,PTYA
KNH,RCBS
TTT,RCFN
GNI,RCGI
KHH,RCKH
CYI,RCKU
KYD,RCLY
RMQ,RCMQ
TNN,RCNN
MZG,RCQC
PIF,RCSQ
TSA,RCSS
TPE,RCTP
WOT,RCWA
HUN,RCYU
NRT,RJAA
MMJ,RJAF
IBR,RJAH
IWO,RJAW
SHM,RJBD
OBO,RJCB
CTS,RJCC
HKD,RJCH
SPK,RJCJ
MMB,RJCM
SHB,RJCN
WKJ,RJCW
IKI,RJDB
UBJ,RJDC
TSJ,RJDT
MBE,RJEB
AKJ,RJEC
OIR,RJEO
RIS,RJER
KUM,RJFC
FUJ,RJFE
FUK,RJFF
TNE,RJFG
KOJ,RJFK
KMI,RJFM
OIT,RJFO
KKJ,RJFR
KMJ,RJFT
NGS,RJFU
ASJ,RJKA
TKN,RJKN
KMQ,RJNK
OKI,RJNO
TOY,RJNT
HIJ,RJOA
OKJ,RJOB
IZO,RJOC
YGJ,RJOH
KCZ,RJOK
MYJ,RJOM
ITM,RJOO
TTJ,RJOR
TKS,RJOS
TAK,RJOT
AOJ,RJSA
GAJ,RJSC
SDS,RJSD
HNA,RJSI
AXT,RJSK
MSJ,RJSM
SDJ,RJSS
HAC,RJTH
OIM,RJTO
HND,RJTT
OKO,RJTY
KWJ,RKJJ
CHN,RKJU
RSU,RKJY
SHO,RKND
KAG,RKNN
CJU,RKPC
PUS,RKPK
USN,RKPU
SSN,RKSM
OSN,RKSO
GMP,RKSS
SWU,RKSW
KPO,RKTH
TAE,RKTN
YEC,RKTY
OKA,ROAH
DNA,RODN
ISG,ROIG
UEO,ROKJ
MMD,ROMD
MMY,ROMY
KTD,RORK
SHI,RORS
RNJ,RORY
OGN,ROYN
MNL,RPLL
CBO,RPMC
CGY,RPML
PAG,RPMP
GES,RPMR
ZAM,RPMZ
BAG,RPUB
SJI,RPUH
TAC,RPVA
BCD,RPVB
DGT,RPVD
MPH,RPVE
ILO,RPVI
KLO,RPVK
PPS,RPVP
COC,SAAC
GHU,SAAG
PRA,SAAP
ROS,SAAR
SFN,SAAV
AEP,SABE
COR,SACO
LPG,SADL
MDZ,SAME
LGS,SAMM
AFA,SAMR
CTC,SANC
SDE,SANE
IRJ,SANL
TUC,SANT
UAQ,SANU
RCU,SAOC
VDR,SAOD
LUQ,SAOU
CNQ,SARC
RES,SARE
FMA,SARF
IGR,SARI
AOL,SARL
PSS,SARP
SLA,SASA
JUJ,SASJ
ORA,SASO
EHL,SAVB
CRD,SAVC
EQS,SAVE
REL,SAVT
VDM,SAVV
PMY,SAVY
PUD,SAWD
RGA,SAWE
RGL,SAWG
USH,SAWH
ULA,SAWJ
PMQ,SAWP
RZA,SAWU
BHI,SAZB
MDQ,SAZM
NQN,SAZN
RSA,SAZR
BRC,SAZS
TDL,SAZT
VLG,SAZV
CPC,SAZY
CDJ,SBAA
AQA,SBAQ
AJU,SBAR
AFL,SBAT
ARU,SBAU
BEL,SBBE
BGX,SBBG
PLU,SBBH
BFH,SBBI
BSB,SBBR
BAU,SBBU
BVB,SBBV
CAC,SBCA
CNF,SBCF
CGR,SBCG
XAP,SBCH
CLN,SBCI
CCM,SBCM
CAW,SBCP
CMG,SBCR
CWB,SBCT
CRQ,SBCV
CXJ,SBCX
CGB,SBCY
CZS,SBCZ
PPB,SBDN
MAO,SBEG
IGU,SBFI
FLN,SBFL
FEN,SBFN
FOR,SBFZ
GIG,SBGL
GYN,SBGO
GRU,SBGR
ATM,SBHT
ITB,SBIH
IOS,SBIL
IPN,SBIP
IMP,SBIZ
JDF,SBJF
JPA,SBJP
JOI,SBJV
CPV,SBKG
VCP,SBKP
LIP,SBLN
LDB,SBLO
LAZ,SBLP
MAB,SBMA
MGF,SBMG
MOC,SBMK
PLL,SBMN
MCZ,SBMO
MCP,SBMQ
MVF,SBMS
MNX,SBMY
NVT,SBNF
GEL,SBNM
NAT,SBSG
POA,SBPA
POO,SBPC
PFB,SBPF
PET,SBPK
PNZ,SBPL
PNB,SBPN
PMG,SBPP
PVH,SBPV
RBR,SBRB
REC,SBRF
SDU,SBRJ
RAO,SBRP
STU,SBSC
SJK,SBSJ
SLZ,SBSL
CGH,SBSP
SJP,SBSR
SSZ,SBST
SSA,SBSV
TMT,SBTB
THE,SBTE
TFF,SBTF
TBT,SBTT
TUR,SBTU
SJL,SBUA
PAV,SBUF
URG,SBUG
UDI,SBUL
UBA,SBUR
VAG,SBVG
BVH,SBVH
VIX,SBVT
QPS,SBYS
ARI,SCAR
BBA,SCBA
CCH,SCCC
CJC,SCCF
PUQ,SCCI
GXQ,SCCY
IQQ,SCDA
SCL,SCEL
ANF,SCFA
WPR,SCFM
LSQ,SCGE
WPU,SCGZ
CCP,SCIE
IPC,SCIP
ZOS,SCJO
LSC,SCSE
ZCO,SCTC
PMC,SCTE
WCH,SCTN
ZAL,SCVD
ATF,SEAM
OCC,SECO
CUE,SECU
GPS,SEGS
GYE,SEGU
LTX,SELT
XMS,SEMC
MCH,SEMH
MEC,SEMT
PVO,SEPV
UIO,SEQM
ETR,SERO
SNC,SESA
TPC,SETR
TUA,SETU
ASU,SGAS
CIO,SGCO
AXM,SKAR
PUU,SKAS
BGA,SKBG
BOG,SKBO
BAQ,SKBQ
BSC,SKBS
BUN,SKBU
CUC,SKCC
CTG,SKCG
CLO,SKCL
TCO,SKCO
CZU,SKCZ
EJA,SKEJ
FLA,SKFL
GPI,SKGP
IBE,SKIB
IPI,SKIP
APO,SKLC
LET,SKLT
EOH,SKMD
MGN,SKMG
MTR,SKMR
MVP,SKMU
MZL,SKMZ
NVA,SKNV
OCV,SKOC
OTU,SKOT
PCR,SKPC
PEI,SKPE
PPN,SKPP
PSO,SKPS
PVA,SKPV
MDE,SKRG
RCH,SKRH
SJE,SKSJ
SMR,SKSM
ADZ,SKSP
SVI,SKSV
TME,SKTM
AUC,SKUC
UIB,SKUI
ULQ,SKUL
VUP,SKVP
VVC,SKVV
BJO,SLBJ
CBB,SLCB
CIJ,SLCO
LPB,SLLP
POI,SLPO
PSZ,SLPS
SRE,SLSU
TJA,SLTJ
TDD,SLTR
VVI,SLVR
BYC,SLYA
PBM,SMJP
CAY,SOCA
PCL,SPCL
CHM,SPEO
CIX,SPHI
AYP,SPHO
ANS,SPHY
ATA,SPHZ
LIM,SPIM
JJI,SPJI
JUL,SPJL
TBP,SPME
YMS,SPMS
CHH,SPPY
IQT,SPQT
AQP,SPQU
TRU,SPRU
PIO,SPSO
TPP,SPST
TCQ,SPTN
PEM,SPTU
PIU,SPUR
TYL,SPYL
CUZ,SPZO
MVD,SUMU
STY,SUSO
AGV,SVAC
AAO,SVAN
BLA,SVBC
BNS,SVBI
BRM,SVBM
CBL,SVCB
CAJ,SVCN
CUP,SVCP
CZE,SVCR
CUM,SVCU
GUI,SVGI
GUQ,SVGU
LSP,SVJC
LFR,SVLF
MAR,SVMC
MRD,SVMD
PMV,SVMG
CCS,SVMI
MUN,SVMT
PYH,SVPA
PBL,SVPC
PZO,SVPR
SVZ,SVSA
SNV,SVSE
STD,SVSO
SFD,SVSR
SOM,SVST
STB,SVSZ
TUV,SVTC
VLN,SVVA
VLV,SVVL
VDP,SVVP
LTM,SYLT
ANU,TAPA
BGI,TBPB
DCF,TDCF
DOM,TDPD
FDF,TFFF
SFG,TFFG
PTP,TFFR
GND,TGPY
STT,TIST
STX,TISX
BQN,TJBQ
FAJ,TJFA
SIG,TJIG
MAZ,TJMZ
PSE,TJPS
SJU,TJSJ
SKB,TKPK
SLU,TLPC
UVF,TLPL
AUA,TNCA
BON,TNCB
CUR,TNCC
EUX,TNCE
SXM,TNCM
AXA,TQPF
TAB,TTCP
POS,TTPP
EIS,TUPJ
CIW,TVSC
MQS,TVSM
SVD,TVSV
ALA,UAAA
BXH,UAAH
TSE,UACC
DMB,UADD
FRU,UAFM
OSS,UAFO
CIT,UAII
URA,UARR
PWQ,UASP
PLX,UASS
AKX,UATT
GYD,UBBB
YKS,UEEE
MJZ,UERR
BQS,UHBB
KHV,UHHH
PVS,UHMD
GDX,UHMM
PWE,UHMP
PKC,UHPP
UUS,UHSS
VVO,UHWW
HTA,UIAA
BTK,UIBB
IKT,UIII
UUD,UIUU
KBP,UKBB
DOK,UKCC
DNK,UKDD
SIP,UKFF
IEV,UKKK
LWO,UKLL
ODS,UKOO
LED,ULLI
MMK,ULMM
GME,UMGG
VTB,UMII
KGD,UMKK
MHP,UMMM
MSQ,UMMS
ABA,UNAA
BAX,UNBB
KEJ,UNEE
OMS,UNOO
KRR,URKK
MCX,URML
MRV,URMM
STW,URMT
ROV,URRR
AER,URSS
ASF,URWA
VOG,URWW
CEK,USCC
MQF,USCM
NJC,USNN
PEE,USPP
SGC,USRR
SVX,USSS
ASB,UTAA
KRW,UTAK
CRZ,UTAV
DYU,UTDD
BHK,UTSB
SKD,UTSS
TAS,UTTT
BZK,UUBP
SVO,UUEE
KLD,UUEM
VOZ,UUOO
VKO,UUWW
SCW,UUYY
KZN,UWKD
REN,UWOO
UFA,UWUU
KUF,UWWW
AMD,VAAH
AKD,VAAK
IXU,VAAU
BOM,VABB
PAB,VABI
BHJ,VABJ
IXG,VABM
BDQ,VABO
BHO,VABP
BHU,VABV
NMB,VADN
GOI,VAGO
IDR,VAID
JLR,VAJB
JGA,VAJM
IXY,VAKE
HJR,VAKJ
KLH,VAKP
IXK,VAKS
NAG,VANP
ISK,VANR
PNQ,VAPO
PBD,VAPR
RAJ,VARK
RPR,VARP
SSE,VASL
STV,VASU
UDR,VAUD
CMB,VCBI
ACJ,VCCA
RML,VCCC
GOY,VCCG
JAF,VCCJ
TRR,VCCT
PNH,VDPP
REP,VDSR
TNX,VDST
IXA,VEAT
AJL,VELP
IXB,VEBD
BBI,VEBS
CCU,VECC
COH,VECO
DBD,VEDB
GAY,VEGY
IMF,VEIM
IXW,VEJS
JRH,VEJT
IXH,VEKR
IXS,VEKU
IXI,VELR
DIB,VEMN
PAT,VEPT
IXR,VERC
RRK,VERK
VTZ,VEVZ
CXB,VGCB
CGP,VGEG
IRD,VGIS
JSR,VGJR
RJH,VGRJ
SPD,VGSD
ZYL,VGSY
DAC,VGZR
HKG,VHHH
AGR,VIAG
IXD,VIAL
ATQ,VIAR
VNS,VIBN
KUU,VIBR
IXC,VICG
DED,VIDN
DEL,VIDP
GWL,VIGR
JDH,VIJO
JAI,VIJP
JSA,VIJR
IXJ,VIJU
KNU,VIKA
KTU,VIKO
LUH,VILD
IXL,VILH
LKO,VILK
PGH,VIPT
SXR,VISR
TNI,VIST
LPQ,VLLB
PKZ,VLPS
ZVK,VLSK
VTE,VLVT
MFM,VMMC
BWA,VNBW
KTM,VNKT
PKR,VNPK
SIF,VNSI
BIR,VNVT
AGX,VOAT
BLR,VOBL
BEP,VOBI
VGA,VOBZ
CJB,VOCB
COK,VOCI
CCJ,VOCL
CDP,VOCP
BPM,VOHY
IXM,VOMD
IXE,VOML
MAA,VOMM
IXZ,VOPB
PNY,VOPC
RJA,VORY
TIR,VOTP
TRZ,VOTR
TRV,VOTV
PBH,VQPR
MLE,VRMM
DMK,VTBD
UTP,VTBU
LPT,VTCL
PRH,VTCP
HHQ,VTPH
PHS,VTPP
NAW,VTSC
KBV,VTSG
PAN,VTSK
USM,VTSM
HKT,VTSP
UNN,VTSR
HDY,VTSS
TST,VTST
UTH,VTUD
SNO,VTUI
LOE,VTUL
DAD,VVDN
HAN,VVNB
NHA,VVNT
HUI,VVPB
PQC,VVPQ
SGN,VVTS
NYU,VYBG
HEH,VYHH
KET,VYKG
KYP,VYKP
LSH,VYLS
MDL,VYMD
MGZ,VYME
MYT,VYMK
MOG,VYMS
PBU,VYPT
AKY,VYSW
SNW,VYTD
THL,VYTL
RGN,VYYY
UPG,WAAA
BIK,WABB
NBX,WABI
TIM,WABP
DJJ,WAJJ
WMX,WAJW
MKQ,WAKK
GTO,WAMG
PLW,WAML
MDC,WAMM
PSJ,WAMP
OTI,WAMR
TTE,WAMT
LUW,WAMW
AMQ,WAPP
FKQ,WASF
KNG,WASK
BXB,WASO
MKW,WASR
SOQ,WAXX
BTU,WBGB
KCH,WBGG
LMN,WBGJ
MUR,WBGM
MYY,WBGR
SBW,WBGS
LDU,WBKD
BKI,WBKK
LBU,WBKL
TWU,WBKW
BWN,WBSB
PKU,WIBB
DUM,WIBD
CGK,WIII
GNS,WIMB
MES,WIMK
KTG,WIOK
PNK,WIOO
DJB,WIPA
BKS,WIPL
PLM,WIPP
RGT,WIPR
BTJ,WITT
AOR,WMKA
KBR,WMKC
KUA,WMKD
KTE,WMKE
IPH,WMKI
JHB,WMKJ
KUL,WMKK
LGK,WMKL
MKZ,WMKM
TGG,WMKN
PEN,WMKP
DIL,WPDL
QPG,WSAP
XSP,WSSL
SIN,WSSS
ABM,YBAM
ASP,YBAS
BNE,YBBN
OOL,YBCG
CNS,YBCS
CTL,YBCV
ISA,YBMA
MCY,YBMC
MKY,YBMK
PPP,YBPN
ROK,YBRK
TSV,YBTL
WEI,YBWP
AVV,YMAV
ABX,YMAY
MEB,YMEN
HBA,YMHB
LST,YMLT
MBW,YMMB
MEL,YMML
ADL,YPAD
JAD,YPJT
KTA,YPKA
KGI,YPKG
KNX,YPKU
LEA,YPLM
PHE,YPPD
PER,YPPH
UMR,YPWR
XCH,YPXM
BWU,YSBK
CBR,YSCB
CFS,YSCH
CDU,YSCN
DBO,YSDU
NLK,YSNF
SYD,YSSY
TMW,YSTW
WGA,YSWG
PEK,ZBAA
HLD,ZBLA
TSN,ZBTJ
TYN,ZBYN
CAN,ZGGG
CSX,ZGHA
KWL,ZGKL
NNG,ZGNN
SZX,ZGSZ
CGO,ZHCC
WUH,ZHHH
FNJ,ZKPY
LHW,ZLLL
XIY,ZLXY
ULN,ZMUB
JHG,ZPJH
KMG,ZPPP
XMN,ZSAM
KHN,ZSCN
FOC,ZSFZ
HGH,ZSHC
NGB,ZSNB
NKG,ZSNJ
HFE,ZSOF
TAO,ZSQD
SHA,ZSSS
YNT,ZSYT
CKG,ZUCK
KWE,ZUGY
CTU,ZUUU
XIC,ZUXC
KHG,ZWSH
HTN,ZWTN
URC,ZWWW
HRB,ZYHB
MDG,ZYMD
DLC,ZYTL
PVG,ZSPD
TOD,WMBT
SZB,WMSA
NTQ,RJNW
HBE,HEBA
BTI,PABA
LUR,PALU
PIZ,PPIZ
ITO,PHTO
ORL,KORL
BTT,PABT
Z84,PACL
UTO,PAIM
FYU,PFYU
SVW,PASV
FRN,PAFR
TLJ,PATL
CZF,PACZ
BED,KBED
SNP,PASN
EHM,PAEH
STG,PAPB
ILI,PAIL
PTU,PAPM
BMX,PABM
OSC,KOSC
OAR,KOAR
MHR,KMHR
BYS,KBYS
NXP,KNXP
FSM,KFSM
MRI,PAMR
GNT,KGNT
PNC,KPNC
SVN,KSVN
GFK,KGFK
PBF,KPBF
NSE,KNSE
HNM,PHHN
PRC,KPRC
TTN,KTTN
BOS,KBOS
SUU,KSUU
RME,KRME
ENV,KENV
BFM,KBFM
OAK,KOAK
OMA,KOMA
NOW,KNOW
OGG,PHOG
ICT,KICT
MCI,KMCI
MSN,KMSN
DLG,PADL
HRO,KHRO
PHX,KPHX
BGR,KBGR
FXE,KFXE
GGG,KGGG
AND,KAND
GEG,KGEG
HWO,KHWO
SFO,KSFO
CTB,KCTB
ARA,KARA
GNV,KGNV
MEM,KMEM
DUG,KDUG
BIG,PABI
CNW,KCNW
ANN,PANT
CAR,KCAR
LRF,KLRF
HUA,KHUA
POB,KPOB
DHT,KDHT
DLF,KDLF
LAX,KLAX
ANB,KANB
CLE,KCLE
DOV,KDOV
CVG,KCVG
FME,KFME
NID,KNID
HON,KHON
JNU,PAJN
LFT,KLFT
EWR,KEWR
BOI,KBOI
INS,KINS
GCK,KGCK
MOT,KMOT
HHI,PHHI
MXF,KMXF
DAL,KDAL
FCS,KFCS
HLN,KHLN
NKX,KNKX
LUF,KLUF
HHR,KHHR
HUL,KHUL
END,KEND
NTD,KNTD
EDW,KEDW
LCH,KLCH
KOA,PHKO
MYR,KMYR
NLC,KNLC
ACK,KACK
FAF,KFAF
HOP,KHOP
DCA,KDCA
NHK,KNHK
PSX,KPSX
BYH,KBYH
ACY,KACY
TIK,KTIK
PUB,KPUB
PQI,KPQI
GRF,KGRF
ADQ,PADQ
UPP,PHUP
FLL,KFLL
MKO,KMKO
INL,KINL
SLC,KSLC
CDS,KCDS
BIX,KBIX
LSF,KLSF
FRI,KFRI
MDT,KMDT
LNK,KLNK
LAN,KLAN
MUE,PHMU
MSS,KMSS
HKY,KHKY
SPG,KSPG
FMY,KFMY
IAH,KIAH
MLT,KMLT
ADW,KADW
INT,KINT
VCV,KVCV
CEW,KCEW
GTB,KGTB
PHN,KPHN
BFL,KBFL
ELP,KELP
HRL,KHRL
CAE,KCAE
DMA,KDMA
NPA,KNPA
PNS,KPNS
RDR,KRDR
HOU,KHOU
BKF,KBKF
ORT,PAOR
PAQ,PAAQ
PIT,KPIT
BRW,PABR
EFD,KEFD
NUW,KNUW
ALI,KALI
VAD,KVAD
MIA,KMIA
SEA,KSEA
CHA,KCHA
BDR,KBDR
JAN,KJAN
GLS,KGLS
LGB,KLGB
HDH,PHDH
IPT,KIPT
IND,KIND
SZL,KSZL
AKC,KAKR
GWO,KGWO
HPN,KHPN
FOK,KFOK
JBR,KJBR
LNA,KLNA
NZY,KNZY
BIF,KBIF
YUM,KNYL
CNM,KCNM
DLH,KDLH
BET,PABE
LOU,KLOU
FHU,KFHU
LIH,PHLI
HUF,KHUF
HVR,KHVR
MWH,KMWH
MPV,KMPV
RIC,KRIC
SHV,KSHV
CDV,PACV
ORF,KORF
BPT,KBPT
SAV,KSAV
HIF,KHIF
OME,PAOM
PIE,KPIE
MNM,KMNM
CXO,KCXO
SCC,PASC
SAT,KSAT
ROC,KROC
COF,KCOF
TEB,KTEB
RCA,KRCA
RDU,KRDU
DAY,KDAY
ENA,PAEN
MLC,KMLC
IAG,KIAG
CFD,KCFD
PHF,KPHF
ESF,KESF
LTS,KLTS
TUS,KTUS
MIB,KMIB
BAB,KBAB
IKK,KIKK
GSB,KGSB
PVD,KPVD
SBY,KSBY
RIU,KRIU
BUR,KBUR
DTW,KDTW
TPA,KTPA
PMB,KPMB
POE,KPOE
EIL,PAEI
HIB,KHIB
LFK,KLFK
MAF,KMAF
GRB,KGRB
ADM,KADM
WRI,KWRI
SBO,KSBO
AGS,KAGS
ISN,KISN
LIT,KLIT
SWF,KSWF
BDE,KBDE
SAC,KSAC
HOM,PAHO
TBN,KTBN
MGE,KMGE
SKA,KSKA
HTL,KHTL
PAM,KPAM
DFW,KDFW
MLB,KMLB
TCM,KTCM
AUS,KAUS
LCK,KLCK
MQT,KSAW
TYS,KTYS
HLR,KHLR
STL,KSTL
MIV,KMIV
SPS,KSPS
LUK,KLUK
ATL,KATL
MER,KMER
MCC,KMCC
GRR,KGRR
INK,KINK
FAT,KFAT
VRB,KVRB
IPL,KIPL
BNA,KBNA
LRD,KLRD
EDF,PAED
OTZ,PAOT
AOO,KAOO
DYS,KDYS
ELD,KELD
LGA,KLGA
TLH,KTLH
DPA,KDPA
ACT,KACT
AUG,KAUG
INJ,KINJ
MKL,KMKL
MKK,PHMK
FTK,KFTK
SJT,KSJT
CXL,KCXL
CIC,KCIC
BTV,KBTV
JAX,KJAX
DRO,KDRO
IAD,KIAD
CLL,KCLL
SFF,KSFF
MKE,KMKE
ABI,KABI
COU,KCOU
PDX,KPDX
TNT,KTNT
PBI,KPBI
FTW,KFTW
OGS,KOGS
BFI,KBFI
SKF,KSKF
HNL,PHNL
DSM,KDSM
EWN,KEWN
SAN,KSAN
MLU,KMLU
SSC,KSSC
ONT,KONT
GVT,KGVT
ROW,KROW
DET,KDET
BRO,KBRO
DHN,KDHN
WWD,KWWD
MTC,KMTC
FMN,KFMN
CRP,KCRP
SYR,KSYR
NQX,KNQX
MDW,KMDW
SJC,KSJC
HOB,KHOB
PNE,KPNE
DEN,KDEN
PHL,KPHL
SUX,KSUX
MCN,KMCN
TCS,KTCS
PMD,KPMD
RND,KRND
NJK,KNJK
CMH,KCMH
FYV,KFYV
FSI,KFSI
PNM,KPNM
FFO,KFFO
GAL,PAGA
MWL,KMWL
IAB,KIAB
NBG,KNBG
BFT,KARW
TXK,KTXK
PBG,KPBG
APG,KAPG
TCC,KTCC
ANC,PANC
GRK,KGRK
ZUN,KZUN
BLI,KBLI
NQA,KNQA
EKN,KEKN
HFD,KHFD
SFZ,KSFZ
MOB,KMOB
NUQ,KNUQ
SAF,KSAF
BKH,PHBK
DRI,KDRI
BSF,PHSF
OLS,KOLS
MCF,KMCF
BLV,KBLV
OPF,KOPF
DRT,KDRT
RSW,KRSW
AKN,PAKN
MUI,KMUI
JHM,PHJH
JFK,KJFK
HST,KHST
RAL,KRAL
FLV,KFLV
WAL,KWAL
HMN,KHMN
NXX,KNXX
CYS,KCYS
SCK,KSCK
CHS,KCHS
RNO,KRNO
KTN,PAKT
YIP,KYIP
VBG,KVBG
BHM,KBHM
NEL,KNEL
LSV,KLSV
RIV,KRIV
MOD,KMOD
SMF,KSMF
UGN,KUGN
COS,KCOS
BUF,KBUF
SKY,KSKY
PAE,KPAE
MUO,KMUO
CDC,KCDC
BDL,KBDL
MFE,KMFE
NGU,KNGU
CEF,KCEF
LBB,KLBB
ORD,KORD
BCT,KBCT
FAI,PAFA
NYG,KNYG
CVS,KCVS
NGF,PHNG
OFF,KOFF
GKN,PAGK
ART,KART
PSP,KPSP
AMA,KAMA
FOD,KFOD
BAD,KBAD
FOE,KFOE
COT,KCOT
ILM,KILM
BTR,KBTR
TYR,KTYR
BWI,KBWI
HBR,KHBR
LNY,PHNY
AEX,KAEX
WSD,KWSD
CDB,PACD
TUL,KTUL
SIT,PASI
ISP,KISP
MSP,KMSP
ILG,KILG
DUT,PADU
MSY,KMSY
PWM,KPWM
OKC,KOKC
ALB,KALB
VDZ,PAVD
LFI,KLFI
SNA,KSNA
CBM,KCBM
TMB,KTMB
NTU,KNTU
GUS,KGUS
CPR,KCPR
VPS,KVPS
SEM,KSEM
EYW,KEYW
CLT,KCLT
LAS,KLAS
MCO,KMCO
FLO,KFLO
GTF,KGTF
YNG,KYNG
FBK,PAFB
MMV,KMMV
WRB,KWRB
BKK,VTBS
NAH,WAMH
TTR,WAWT
KDI,WAWW
SBG,WITB
MLG,WARA
