"IATA","ICAO"
BDO,WICC
CBN,WICD
JOG,WARJ
CXP,WIHL
PCB,WIHP
SRG,WARS
BTH,WIDD
TJQ,WIOD
PGK,WIPK
TNJ,WIDN
SIQ,WIDS
BDJ,WAOO
PKN,WAOI
PKY,WAOP
MOF,WATC
ENE,WATE
RTG,WATG
KOE,WATT
LBJ,WATO
BPN,WALL
TRK,WALR
SRI,WALS
AMI,WADA
BMU,WADB
WGP,WADW
SUB,WARR
SOC,WARQ
ICN,RKSI
CNX,VTCC
CEI,VTCT
NST,VTSF
NAK,VTUQ
KOP,VTUW
UBP,VTUU
KKC,VTUK
THS,VTPO
DPS,WADD
ATH,LGAV
NGO,RJGG
UKB,RJBE
PUW,KPUW
LWS,KLWS
ELM,KELM
ITH,KITH
MRY,KMRY
SBA,KSBA
DAB,KDAB
LPX,EVLA
RIX,EVRA
SQQ,EYSA
HLJ,EYSB
KUN,EYKA
PLQ,EYPA
VNO,EYVI
PNV,EYPP
EVN,UDYZ
LWN,UDSG
ASA,HHSB
ASM,HHAS
MSW,HHMS
GZA,LVGZ
BUS,UGSB
KUT,UGKO
TBS,UGTB
RIY,OYRN
TAI,OYTZ
HOD,OYHD
ADE,OYAA
AXK,OYAT
AAY,OYGD
SAH,OYSN
BHN,OYBN
SCT,OYSQ
FMM,EDJA
NAV,LTAZ
EZE,SAEZ
EBL,ORER
EMD,YEML
HEW,LGAT
KIX,RJBB
TAG,RPVT
JAV,BGJN
JCH,BGCH
JEG,BGAA
PMI,LEPA
DRW,YPDN
URT,VTSB
TKA,PATK
GZM,LMMG
HVN,KHVN
AVL,KAVL
GSO,KGSO
FSD,KFSD
AYQ,YAYE
MHT,KMHT
APF,KAPF
RDN,WMPR
SDF,KSDF
CHO,KCHO
ROA,KROA
LEX,KLEX
EVV,KEVV
ABQ,KABQ
BZN,KBZN
BIL,KBIL
BTM,KBTM
TVC,KTVC
FRS,MGTK
BHB,KBHB
RKD,KRKD
JAC,KJAC
RFD,KRFD
DME,UUDD
SYX,ZJSY
MFN,NZMF
LJG,ZPLJ
GSP,KGSP
BMI,KBMI
GPT,KGPT
AZO,KAZO
TOL,KTOL
FWA,KFWA
DEC,KDEC
CID,KCID
LSE,KLSE
CWA,KCWA
PIA,KPIA
ATW,KATW
RST,KRST
CMI,KCMI
MHK,KMHK
KGC,YKSC
HVB,YHBA
DLU,ZPDL
MZV,WBMU
SSH,HESH
FKL,KFKL
NBO,HKJK
SEU,HTSN
FTE,SAWC
ARM,YARM
GJT,KGJT
SGU,KSGU
DWH,KDWH
S46,XS46
SRQ,KSRQ
BDA,TXKF
VNY,KVNY
MLI,KMLI
PFN,KPFN
HIR,AGGH
PPT,NTAA
INU,ANYN
FUN,NGFU
OVB,UNNT
XKH,VLXK
BIS,KBIS
TEX,KTEX
INC,ZLIC
HGN,VTCH
RAP,KRAP
CLD,KCRQ
FNT,KFNT
DVO,RPMD
FNC,LPMA
STM,SBSN
KOS,VDSV
YOA,CYOA
NPE,NZNR
LEV,NFNB
LXA,ZULS
RDD,KRDD
EUG,KEUG
IDA,KIDA
MFR,KMFR
KBZ,NZKI
RDM,KRDM
PCN,NZPN
WDH,FYWH
YWH,CYWH
TNA,ZSJN
CZX,ZSCG
YBP,ZUYB
TJM,USTR
CAK,KCAK
HSV,KHSV
PKB,KPKB
MGM,KMGM
TRI,KTRI
PAH,KPAH
JIB,HDAM
HAK,ZJHK
MFA,HTMA
PGA,KPGA
UII,MHUT
FCA,KGPI
MBS,KMBS
BGM,KBGM
BGW,ORBI
NNT,VTCN
ROI,VTUV
BFV,VTUO
TDX,VTBO
BLH,KBLH
CRK,RPLC
SDK,WBKS
LXG,VLLN
ODY,VLOS
SHE,ZYTX
MNI,TRPG
PSG,PAPG
LYA,ZHLY
XUZ,ZSXZ
MWQ,VYMW
KHM,VYKI
DLI,VVDL
VKG,VVRG
CAH,VVCM
VCL,VVCA
TBB,VVTH
PYY,VTCI
BWK,LDSB
NSI,FKYS
CKY,GUCY
AAH,EDKA
FKB,EDSB
SFB,KSFB
JST,KJST
LUA,VNLK
BHP,VNBJ
LDN,VNLD
JMO,VNJS
NGX,VNMA
PPL,VNPL
RUM,VNRT
DNP,VNDG
RUK,VNRK
JUM,VNJL
TPJ,VNTJ
TMI,VNTR
SKH,VNSK
IMK,VNST
DOP,VNDP
BJH,VNBG
DHI,VNDH
MWX,RKJB
JTY,LGPL
JIK,LGIK
JKL,LGKY
MLO,LGML
JNX,LGNX
PAS,LGPA
KZS,LGKJ
RMF,HEMA
NRN,EDLV
USU,RPVV
BXU,RPME
DPL,RPMG
LAO,RPLI
LGP,RPLP
OZC,RPMO
CEB,RPVM
NOE,EDWS
JUI,EDWJ
BPS,SBPS
PMW,SBPJ
CLV,SBCN
MSO,KMSO
BKQ,YBCK
BDB,YBUD
GCN,KGCN
SGR,KSGR
HIS,YHYN
APA,KAPA
CVN,KCVN
FST,KFST
LVS,KLVS
IWS,KIWS
LHX,KLHX
LRU,KLRU
BKD,KBKD
TPL,KTPL
OZA,KOZA
KDM,VRMT
LAK,CYKD
YWJ,CYWJ
ZFN,CZFN
YGH,CYGH
TAH,NVVW
YPC,CYPC
SRZ,SLET
SAB,TNCS
EGE,KEGE
SKN,ENSK
CGF,KCGF
MFD,KMFD
CSG,KCSG
LAW,KLAW
FNL,KFNL
FLG,KFLG
TVL,KTVL
TWF,KTWF
MVY,KMVY
CON,KCON
GON,KGON
STC,KSTC
BPE,ZBDH
GTR,KGTR
GOJ,UWGG
HQM,KHQM
ERI,KERI
HYA,KHYA
SDX,KSEZ
MGW,KMGW
CRW,KCRW
AVP,KAVP
BJI,KBJI
THG,YTNG
FGI,NSFI
BNK,YBNA
FAR,KFAR
MKC,KMKC
RBE,VDRK
GCC,KGCC
TOF,UNTT
PHY,VTPB
CJM,VTSE
JZH,ZUJZ
SWA,ZGOW
GEO,SYCJ
AGT,SGES
OGL,SYGO
KAI,PKSA
DNH,ZLDH
AOI,LIPY
CPO,SCHA
TCP,HETB
LYB,MWCL
BJV,LTFE
TBJ,DTKA
SAW,LTFJ
SCE,KUNV
BME,YBRM
NTL,YWLM
KLU,LOWK
HFT,ENHF
HVG,ENHV
MEH,ENMH
VDS,ENVD
IKA,OIIE
MHD,OIMM
UIK,UIBS
MEI,KMEI
SPI,KSPI
CEZ,KCEZ
HDN,KHDN
GUP,KGUP
LBL,KLBL
LAA,KLAA
GLD,KGLD
COD,KCOD
HOV,ENOV
ISC,EGHE
SGF,KSGF
NVK,ENNK
BVG,ENBV
FBU,ENFB
NSK,UOOO
AAQ,URKA
JLN,KJLN
ABE,KABE
XNA,KXNA
GUW,UATG
KZO,UAOO
SBN,KSBN
BKA,UUBB
ARH,ULAA
RTW,UWSS
NUX,USMU
NOJ,USRO
SCO,UATE
UCT,UUYH
USK,UUYS
PEX,UUYP
NNM,ULAM
PKV,ULOO
KGP,USRK
KJA,UNKL
KGF,UAKK
URJ,USHU
IWA,UUBI
CGQ,ZYCC
KIJ,RJSN
JON,PJON
SMD,KSMD
ACV,KACV
OAJ,KOAJ
TCL,KTCL
DBQ,KDBQ
ATD,AGAT
AKS,AGGA
BAS,AGGE
FRE,AGGF
MBU,AGGI
IRA,AGGK
SCZ,AGGL
MUA,AGGM
GZO,AGGN
MNY,AGGO
RNL,AGGR
RUS,AGGU
VAO,AGGV
KGE,AGKG
RBV,AGRM
BUA,AYBK
CMU,AYCH
DAU,AYDU
GUR,AYGN
PNP,AYGR
HKN,AYHK
UNG,AYKI
KRI,AYKK
KMA,AYKM
KVG,AYKV
MDU,AYMN
MAS,AYMO
MXH,AYMR
MIS,AYMS
TIZ,AYTA
TBG,AYTB
RAB,AYTK
VAI,AYVN
WBM,AYWD
LLU,BGAP
CNP,BGCO
JFR,BGFH
JGO,BGGN
JJU,BGJH
JSU,BGMQ
JNN,BGNN
JNS,BGNS
NAQ,BGQQ
JHS,BGSS
JUV,BGUK
JQA,BGUQ
GRY,BIGR
THO,BITN
VPN,BIVO
YWS,CAE5
YAA,CAJ4
YWM,CCA6
YFX,CCK4
YHA,CCP4
YRG,CCZ2
YCK,CEB3
YLE,CEM3
SUR,CJV7
YAX,CKB6
WNN,CKL3
YNO,CKQ3
XBE,CNE3
KIF,CNM5
YOG,CNT3
YHP,CPV7
YKU,CSU2
ZTB,CTB6
ZLT,CTU5
YAC,CYAC
YAG,CYAG
XKS,CYAQ
YKG,CYAS
YAT,CYAT
YBE,CYBE
YBX,CYBX
YRF,CYCA
YCS,CYCS
YDP,CYDP
YER,CYER
YFA,CYFA
YFH,CYFH
YMN,CYFT
YGB,CYGB
YGO,CYGO
YGT,CYGT
YGW,CYGW
YGX,CYGX
YGZ,CYGZ
YQC,CYHA
CXH,CYHC
YNS,CYHH
YHO,CYHO
YHR,CYHR
YIK,CYIK
YIV,CYIV
AKV,CYKO
YKQ,CYKQ
YPJ,CYLA
YLC,CYLC
YLH,CYLH
YSG,CYSG
XGR,CYLU
YMH,CYMH
YMT,CYMT
YUD,CYMU
YNC,CYNC
YNE,CYNE
YNL,CYNL
YOH,CYOH
YPH,CYPH
YPM,CYPM
YPO,CYPO
YPW,CYPW
YQD,CYQD
YQN,CYQN
YRA,CYRA
YRL,CYRL
YSF,CYSF
YSK,CYSK
YST,CYST
YTL,CYTL
YVZ,CYVZ
YWP,CYWP
YXN,CYXN
YZG,CYZG
ZAC,CZAC
ILF,CZBD
ZBF,CZBF
ZEM,CZEM
ZFD,CZFD
ZGI,CZGI
ZJN,CZJN
ZKE,CZKE
MSA,CZMD
ZMT,CZMT
ZPB,CZPB
ZRJ,CZRJ
ZSJ,CZSJ
ZTM,CZTM
ZUM,CZUM
ZWL,CZWL
BLJ,DABT
CBH,DAOR
BMW,DATM
ELU,DAUO
KMS,DGSI
HDF,EDAH
HEI,EDXB
HGL,EDXH
SJY,EFSI
NQT,EGBN
DSA,EGCN
CAL,EGEC
EOI,EGED
FIE,EGEF
NRL,EGEN
PPW,EGEP
SOY,EGER
NDY,EGES
LWK,EGET
WRY,EGEW
LEQ,EGHC
PZE,EGHK
VLY,EGOV
BRR,EGPR
CFN,EIDL
CNL,EKSN
LKN,ENLK
OSY,ENNM
MQN,ENRA
RVK,ENRM
RET,ENRS
SDN,ENSD
SOG,ENSG
SVJ,ENSH
SOJ,ENSR
VAW,ENSS
VRY,ENVR
BZG,EPBY
LCJ,EPLL
OSD,ESNZ
HFS,ESOH
KSD,ESOK
TYF,ESST
AGH,ESTA
SQO,ESUD
HMV,ESUT
VTS,EVVA
QRA,FAGM
MQP,FAKN
AAM,FAMD
MBD,FAMM
GNZ,FBGZ
ORP,FBOR
SWX,FBSW
TLD,FBTL
DIS,FCPL
CIP,FLCP
SLI,KSLI
YVA,FMCN
WAQ,FMMG
JVA,FMMK
BMD,FMML
MXT,FMMO
TVA,FMMR
WTA,FMMU
WTS,FMMX
WAM,FMMZ
WPB,FMNG
DWB,FMNO
WMP,FMNP
TTS,KTTS
WMA,FMNX
MJA,FMSJ
CBT,FNCT
DUE,FNDU
VPE,FNGI
MSZ,FNMO
KOU,FOGK
MJL,FOGM
TCH,FOOT
VPY,FQCH
SRH,FTTA
CMK,FWCM
LUD,FYLZ
OND,FYOA
OMD,FYOG
SWP,FYSM
ERS,FYWE
BOA,FZAJ
MAT,FZAM
INO,FZBA
NIO,FZBI
KRZ,FZBT
BSU,FZEN
TSH,FZUK
LJA,FZVA
PFR,FZVS
GMZ,GCGM
BTE,GFBN
KBS,GFBO
KEN,GFKE
OXB,GGOV
SMW,GMMA
VIL,GMMH
ESU,GMMI
EUN,GMML
NDR,GMMW
RAI,GVNP
SFL,GVSF
BCO,HABC
BEI,HABE
DSE,HADC
DEM,HADD
GDE,HAGO
GOR,HAGR
ABK,HAKD
MTF,HAMT
TIE,HATP
ALU,HCMA
BSA,HCMF
MGQ,HCMM
GLK,HCMR
BUO,HCMV
AAC,HEAR
ATZ,HEAT
ASV,HKAM
LKG,HKLK
MYD,HKML
NYK,HKNY
SRX,HLGD
TOB,HLGN
MJI,HLLM
LAQ,HLLQ
ATB,HSAT
UYL,HSNN
PZU,HSPN
BKZ,HTBU
TKQ,HTKA
LDI,HTLI
MUZ,HTMU
SHY,HTSY
TBO,HTTB
RUA,HUAR
ULU,HUGU
DIU,VA1P
ABR,KABR
ABY,KABY
AHN,KAHN
ALM,KALM
ALO,KALO
ALW,KALW
APN,KAPN
ATY,KATY
BFD,KBFD
BFF,KBFF
BKW,KBKW
BQK,KBQK
BRL,KBRL
CEC,KCEC
CGI,KCGI
CIU,KCIU
CKB,KCKB
CLM,KCLM
CMX,KCMX
DDC,KDDC
DUJ,KDUJ
EAU,KEAU
EKO,KEKO
EWB,KEWB
FAY,KFAY
GGW,KGGW
GRI,KGRI
HOT,KHOT
HTS,KHTS
KIO,Q51
IRK,KIRK
JMS,KJMS
LAR,KLAR
LBE,KLBE
LBF,KLBF
LEB,KLEB
LMT,KLMT
LNS,KLNS
LWT,KLWT
LYH,KLYH
MKG,KMKG
MLS,KMLS
MSL,KMSL
OTH,KOTH
OWB,KOWB
PIB,KPIB
PIH,KPIH
PIR,KPIR
PLN,KPLN
PSM,KPSM
RDG,KRDG
RHI,KRHI
RKS,KRKS
RUT,KRUT
SBP,KSBP
SHR,KSHR
SLK,KSLK
SLN,KSLN
SMX,KSMX
TUP,KTUP
UIN,KUIN
VCT,KVCT
VLD,KVLD
WRL,KWRL
YKM,KYKM
ECN,LCEN
RJL,LELO
IDY,LFEY
ANE,LFJR
LTT,LFTZ
JSY,LGSO
PEV,LHPP
QGY,LHPR
SOB,LHSM
AOT,LIMW
QSR,LIRI
CVU,LPCR
BNX,LQBK
USQ,LTBO
KSY,LTCF
SFQ,LTCH
KCM,LTCN
AJI,LTCO
ADF,LTCP
ISE,LTFC
EDO,LTFD
SZF,LTFH
ILZ,LZZI
GDT,MBGT
MDS,MBMC
SLX,MBSY
AZS,MDCY
JBQ,MDJB
PBR,MGPB
AAZ,MGQZ
UTK,03N
AHS,MHAH
PEU,MHPL
MIJ,MLIP
CYW,MMCY
CUA,MMDA
GUB,MMGR
JAL,MMJA
CTD,MPCE
ONX,MPEJ
JQE,MPJE
PLP,MPLP
TTQ,MRAO
BCL,MRBC
TNO,MRCV
PBP,MRIA
PJM,MRPJ
SYQ,MRPV
JEE,MTJE
PAX,MTPX
TND,MUTD
COX,MYAK
ATC,MYCA
CAT,MYCB
CRI,MYCI
PID,MYPI
AIU,NCAT
MGS,NCMG
MHX,NCMH
MUK,NCMK
MOI,NCMR
PYE,NCPY
ICI,NFCI
PTF,NFFO
KDV,NFKD
MNF,NFMA
MFJ,NFMO
NGI,NFNG
LKB,NFNK
LBS,NFNL
TVU,NFNM
KXF,NFNO
RTA,NFNR
SVU,NFNS
EUA,NFTE
HPA,NFTL
NFO,NFTO
NTT,NFTP
VBV,NFVB
IUE,NIUE
FUT,NLWF
MXS,NSMA
APK,NTGD
AHE,NTHE
AUQ,NTMN
UAP,NTMP
UAH,NTMU
MTV,NVSA
SLH,NVSC
TOH,NVSD
EAE,NVSE
CCV,NVSF
LOD,NVSG
SSR,NVSH
PBJ,NVSI
LPM,NVSL
LNB,NVSM
MWF,NVSN
LNE,NVSO
NUS,NVSP
ZGU,NVSQ
RCL,NVSR
SON,NVSS
TGH,NVST
ULB,NVSU
VLS,NVSV
SWJ,NVSX
OLZ,NVSZ
AUY,NVVA
AWD,NVVB
DLY,NVVD
FTA,NVVF
IPA,NVVI
TGJ,NWWA
BMY,NWWC
ILP,NWWE
FBD,OAFZ
DWD,OEDW
AJF,OESK
EWD,OEWD
KHD,OICK
BXR,OIKM
RJN,OIKR
BJB,OIMN
AFZ,OIMS
NSH,OINN
SRY,OINZ
LRR,OISL
ADU,OITL
OMH,OITR
AAN,OMAL
BNP,OPBN
BHV,OPBW
CJL,OPCH
DBA,OPDB
DEA,OPDG
DSK,OPDI
JIW,OPJI
HDD,OPKD
KDD,OPKH
ORW,OPOR
PAJ,OPPC
KDU,OPSD
SYW,OPSN
TUK,OPTU
ISU,ORSU
KAC,OSKL
GXF,OYSY
ADK,PADK
GST,PAGS
SGY,PAGY
HCR,PAHC
HNS,PAHN
KLG,PALG
MCG,PAMC
MOU,PAMO
ANI,PANI
VAK,PAVA
WRG,PAWG
LUP,PHLU
ENT,PKMA
LZN,RCFG
HCN,RCKW
MFK,RCMT
KUH,RJCK
OKD,RJCO
HSG,RJFS
NKM,RJNA
IWJ,RJOW
FKS,RJSF
ONJ,RJSR
SYO,RJSY
MYE,RJTQ
KUV,RKJK
MPK,RKJM
WJU,RKNW
YNY,RKNY
HIN,RKPS
CJJ,RKTU
SFS,RPLB
CYU,RPLO
CGM,RPMH
JOL,RPMJ
SGS,RPMN
SUG,RPMS
TDG,RPMW
WNP,RPUN
BSO,RPUO
SFE,RPUS
TUG,RPUT
VRC,RPUV
CYP,RPVC
CRM,RPVF
MBT,RPVJ
RXS,RPVR
TTG,SAST
LHS,SAVH
OES,SAVN
ING,SAWA
GGS,SAWR
SST,SAZL
NEC,SAZO
JDO,SBJU
LEC,SBLE
MEA,SBME
MII,SBML
VDC,SBQV
RIA,SBSM
TOW,SBTD
ESR,SCES
ZPC,SCPC
SOD,SDCO
SCY,SEST
LOH,SETM
ESM,SETN
PSY,SFAL
CRC,SKGO
GLJ,SKGZ
LQM,SKLG
LPD,SKLP
NQU,SKNQ
PDA,SKPD
EYP,SKYP
GYA,SLGY
PUR,SLPR
RIB,SLRI
REY,SLRY
SRJ,SLSB
ORG,SMZO
MVS,SNMU
LHC,SPBC
CJA,SPJR
HUU,SPNC
NZC,SPZA
SRA,SSZR
MDO,SUPE
MYC,SVBS
VIG,SVVG
JPR,SWJI
BBQ,TAPH
DSD,TFFA
BBR,TFFB
SFC,TFFC
GBJ,TFFM
NEV,TKPN
VIJ,TUPW
BQU,TVSB
UNI,TVSU
KOV,UACK
PPK,UACP
DZN,UAKD
UKK,UASK
KSN,UAUU
KVD,UBBG
NAJ,UBBN
CNN,UELL
PYJ,UERP
CKH,UESO
CYX,UESS
IKS,UEST
KXK,UHKK
DYR,UHMA
OHO,UHOO
UJE,UJAP
MPW,UKCM
VSG,UKCW
OZH,UKDE
KWG,UKDR
HRK,UKHH
IFO,UKLI
CWC,UKLN
RWN,UKLR
UDJ,UKLU
CSH,ULAS
CEE,ULBC
AMV,ULDD
KSZ,ULKK
PES,ULPB
GNA,UMMG
MVQ,UMOO
EIE,UNII
KYZ,UNKY
NOZ,UNWW
HTG,UOHH
IAA,UOII
GRV,URMG
NAL,URMN
OGZ,URMO
ESL,URWI
WKK,5A8
BLF,KBLF
GLH,KGLH
PSC,KPSC
KQA,KQA
LPS,S31
SLY,USDD
HMA,USHH
NYA,USHN
OVS,USHS
IJK,USII
KVX,USKK
NYM,USMM
RAT,USNR
NFG,USRN
KRO,USUU
LBD,UTDL
AZN,UTKA
FEG,UTKF
NMA,UTKN
NCU,UTNN
UGC,UTNU
KSQ,UTSL
TMJ,UTST
RYB,UUBK
EGO,UUOB
URS,UUOK
LPK,UUOL
VKT,UUYW
UUA,UWKB
JOK,UWKJ
CSY,UWKS
ULY,UWLW
OSW,UWOR
PEZ,UWPP
SKX,UWPS
BWO,UWSB
HBX,VAHB
KCT,VCCK
WRZ,VCCW
BBM,VDBG
SHL,VEBI
GAU,VEGT
DMU,VEMR
TEZ,VETZ
BZL,VGBR
OUI,VLHS
BHR,VNBP
BDP,VNCG
MEY,VNMG
KEP,VNNG
GAN,VRMG
HAQ,VRMH
KDO,VRMK
MAQ,VTPM
BMV,VVBM
HPH,VVCI
CXR,VVCR
VCS,VVCS
VCA,VVCT
DIN,VVDB
UIH,VVPC
PXU,VVPK
VII,VVVH
BMO,VYBM
TVY,VYDW
KAW,VYKT
LIW,VYLK
MNU,VYMM
BSX,VYPN
PKK,VYPU
SWQ,WADS
TMC,WADT
BUI,WAJB
SEH,WAJS
TJS,WALG
DTD,WALJ
BEJ,WALK
TJG,WAON
SMQ,WAOS
LUV,WAPL
ARD,WATM
BLG,WBGC
LGL,WBGF
ODN,WBGI
MKM,WBGK
BKM,WBGQ
LWY,WBGW
BBN,WBGZ
TMG,WBKM
KUD,WBKT
TKG,WIAT
HLP,WIHH
NTX,WION
PSU,WIOP
SQG,WIOS
PDO,WIPQ
LSW,WITM
PKG,WMPA
LBW,WRLB
NNX,WRLF
LPU,WRLP
ALH,YABA
GYL,YARG
AUU,YAUR
BCI,YBAR
BDD,YBAU
BVI,YBDV
BHQ,YBHI
HTI,YBHM
BEU,YBIE
BRK,YBKE
BUC,YBKT
GIC,YBOI
OKY,YBOK
BQL,YBOU
BHS,YBTH
BLT,YBTR
CVQ,YCAR
CAZ,YCBA
CPD,YCBP
CNC,YCCT
CNJ,YCCY
CED,YCDU
CTN,YCKN
CMA,YCMU
CNB,YCNM
CUQ,YCOE
OOM,YCOM
DMD,YDMG
NLF,YDNI
DPO,YDPO
ELC,YELD
EPR,YESP
FLS,YFLI
GET,YGEL
GLT,YGLA
GTE,YGTE
GFF,YGTH
HID,YHID
HOK,YHOO
MHU,YHOT
HGD,YHUG
JCK,YJLC
KAX,YKBR
KNS,YKII
KFG,YKKG
KRB,YKMB
KWM,YKOW
KUG,YKUB
LNO,YLEO
LEL,YLEV
LDH,YLHI
IRG,YLHR
LSY,YLIS
LHG,YLRD
LRE,YLRE
LER,YLST
LVO,YLTN
UBB,YMAA
MKR,YMEK
MIM,YMER
MGT,YMGB
MNG,YMGD
MCV,YMHU
MQL,YMIA
MMG,YMOG
MRZ,YMOR
MOV,YMRB
MYA,YMRY
MGB,YMTG
ONG,YMTI
MYI,YMUI
MBH,YMYB
NRA,YNAR
NAA,YNBR
NTN,YNTN
ZNE,YNWN
OLP,YOLD
PUG,YPAG
PMK,YPAM
PBO,YPBO
CCK,YPCC
GOV,YPGV
PKE,YPKS
PLO,YPLC
EDR,YPMP
PQQ,YPMQ
PTJ,YPOD
ULP,YQLP
RAM,YRNG
RMA,YROM
SGO,YSGE
MJK,YSHK
SBR,YSII
SRN,YSRN
XTG,YTGM
TCA,YTNK
VCD,YVRD
SYU,YWBS
WNR,YWDH
WYA,YWHA
WUN,YWLU
WOL,YWOL
WIN,YWTN
BWT,YWYY
OKR,YYKI
XMY,YYMI
NAY,ZBNY
CIF,ZBCF
CIH,ZBCZ
DAT,ZBDT
HET,ZBHH
BAV,ZBOW
SJW,ZBSJ
TGO,ZBTL
HLH,ZBUL
XIL,ZBXH
BHY,ZGBH
CGD,ZGCD
DYG,ZGDY
MXZ,ZGMX
ZUH,ZGSD
LZH,ZGZH
ZHA,ZGZJ
ENH,ZHES
NNY,ZHNY
XFN,ZHXF
YIH,ZHYC
AKA,ZLAK
GOQ,ZLGM
HZG,ZLHZ
IQN,ZLQY
XNN,ZLXN
ENY,ZLYA
UYN,ZLYL
AVK,ZMAH
LTI,ZMAT
BYN,ZMBH
DLZ,ZMDZ
HVD,ZMKD
MXV,ZMMN
DIG,ZPDQ
LUM,ZPLX
SYM,ZPSM
ZAT,ZPZT
KOW,ZSGZ
JDZ,ZSJD
JIU,ZSJJ
JUZ,ZSJU
LYG,ZSLG
HYN,ZSLQ
LYI,ZSLY
JJN,ZSQZ
TXN,ZSTX
WEF,ZSWF
WEH,ZSWH
WUX,ZSWX
WUS,ZSWY
WNZ,ZSWZ
YNZ,ZSYN
YIW,ZSYW
HSN,ZSZS
BPX,ZUBD
DAX,ZUDX
GYS,ZUGU
LZO,ZULZ
MIG,ZUMY
NAO,ZUNC
LZY,ZUNZ
WXN,ZUWX
AKU,ZWAK
IQM,ZWCM
KCA,ZWKC
KRL,ZWKL
KRY,ZWKM
YIN,ZWYN
HEK,ZYHE
JMU,ZYJM
JNZ,ZYJZ
NDG,ZYQQ
YNJ,ZYYJ
WKL,HI07
WME,YMNE
LRV,SVRS
IOR,EIIM
NNR,EICA
GTI,EDCG
NBB,USHB
ORH,KORH
AQG,ZSAQ
SHP,ZBSH
YCU,ZBYC
JGN,ZLJQ
DSN,ZBDS
PWT,KPWT
SPW,KSPW
JEF,KJEF
UNT,EGPW
PVC,KPVC
SBH,TFFJ
KMW,UUBA
SUI,UGSS
TBW,UUOT
OBN,EGEO
ERM,SSER
CVF,LFLJ
FUL,KFUL
NVI,UTSA
QSF,DAAS
LRH,LFBH
SUN,KSUN
MCW,KMCW
AZA,KIWA
XAU,SOOS
AKP,PAKP
ANV,PANV
ATK,PATQ
GAM,PAGM
HPB,PAHP
KAL,PAKV
KSM,PASM
KVL,PAVL
MYU,PAMY
RBY,PARY
SHH,PASH
SVA,PASA
WTK,PAWN
OMC,RPVO
YPX,CYPX
YTQ,CYTQ
ARC,PARC
QOW,DNIM
FON,MRAN
TMU,MRTR
CYZ,RPUY
KVK,ULMK
GVR,SBGV
PJA,ESUP
QBC,CYBD
HGR,KHGR
ACR,SKAC
GOP,VEGK
SDP,PASD
HMI,ZWHM
WUZ,ZGWZ
TBH,RPVU
ACP,OITM
GBT,OING
IIL,OICI
PFQ,OITP
TCG,ZWTC
MQM,LTCR
AFS,UTSN
DRG,PADE
LEN,LELN
RGS,LEBG
EGM,AGGS
CQD,OIFS
DHM,VIGG
NDC,VAND
SLV,VISM
IGG,PAIG
KNW,PANW
KVC,PAVC
PTH,PAPH
TOG,PATG
EGN,HSGN
LKH,WBGL
WLH,NVSW
CHG,ZYCY
UAS,HKSB
BHG,MHBL
YVB,CYVB
SKT,OPST
